Aleksandrów Kujawski, KP
Pasłęk, WN
Pelplin, PM
Pełczyce, ZP
Piaseczno, MZ
Piaski, LU
Piastów, MZ
Piechowice, DŚ
Piekary Śląskie, ŚL
Pieniężno, WN
Pierzchnica, ŚK
Pieszyce, DŚ
Pieńsk, DŚ
Pilawa, MZ
Pilica, ŚL
Pilzno, PK
Pionki, MZ
Piotrków Kujawski, KP
Piotrków Trybunalski, ŁD
Pisz, WN
Piwniczna-Zdrój, MA
Piła, WP
Piława Górna, DŚ
Pińczów, ŚK
Pleszew, WP
Pniewy, WP
Pobiedziska, WP
Poddębice, ŁD
Podkowa Leśna, MZ
Pogorzela, WP
Polanica-Zdrój, DŚ
Polanów, ZP
Police, ZP
Polkowice, DŚ
Poniatowa, LU
Poniec, WP
Poręba, ŚL
Poznań, WP
Połaniec, ŚK
Połczyn-Zdrój, ZP
Prabuty, PM
Praszka, OP
Prochowice, DŚ
Proszowice, MA
Pruchnik, PK
Prudnik, OP
Prusice, DŚ
Pruszcz Gdański, PM
Pruszków, MZ
Przasnysz, MZ
Przecław, PK
Przedbórz, ŁD
Przedecz, WP
Przemków, DŚ
Przemyśl, PK
Przeworsk, PK
Przysucha, MZ
Prószków, OP
Pszczyna, ŚL
Pszów, ŚL
Puck, PM
Puszczykowo, WP
Puławy, LU
Pułtusk, MZ
Pyrzyce, ZP
Pyskowice, ŚL
Pyzdry, WP
Płock, MZ
Płoty, ZP
Płońsk, MZ
Rabka-Zdrój, MA
Racibórz, ŚL
Raciąż, MZ
Radków, DŚ
Radlin, ŚL
Radom, MZ
Radomsko, ŁD
Radomyśl Wielki, PK
Radoszyce, ŚK
Radymno, PK
Radziejów, KP
Radzionków, ŚL
Radzymin, MZ
Radzyń Chełmiński, KP
Radzyń Podlaski, LU
Radłów, MA
Rajgród, PD
Rakoniewice, WP
Raszków, WP
Ratusz, Opole
Ratusz, Zielona Góra
Rawa Mazowiecka, ŁD
Rawicz, WP
Recz, ZP
Reda, PM
Rejowiec, LU
Rejowiec Fabryczny, LU
Resko, ZP
Reszel, WN
Rogoźno, WP
Ropczyce, PK
Ruciane-Nida, WN
Ruda Śląska, ŚL
Rudnik nad Sanem, PK
Rumia, PM
Rybnik, ŚL
Rychwał, WP
Rydułtowy, ŚL
Rydzyna, WP
Ryglice, MA
Ryki, LU
Rymanów, PK
Ryn, WN
Rypin, KP
Rzepin, LB
Rzeszów, PK
Rzgów, ŁD
Różan, MZ
Sandomierz, ŚK
Sanniki, MZ
Sanok, PK
Sejny, PD
Serock, MZ
Sianów, ZP
Siechnice, DŚ
Siedlce, MZ
Siedliszcze, LU
Siemianowice Śląskie, ŚL
Siemiatycze, PD
Sieniawa, PK
Sieradz, ŁD
Sieraków, WP
Sierpc, MZ
Siewierz, ŚL
Skalbmierz, ŚK
Skarszewy, PM
Skaryszew, MZ
Skarżysko-Kamienna, ŚK
Skawina, MA
Skała, MA
Skierniewice, ŁD
Skoczów, ŚL
Skoki, WP
Skwierzyna, LB
Skórcz, PM
Skępe, KP
Sobótka, DŚ
Sochaczew, MZ
Sokołów Małopolski, PK
Sokołów Podlaski, MZ
Sokółka, PD
Solec Kujawski, KP
Sompolno, WP
Sopot, PM
Sosnowiec, ŚL
Sośnicowice, ŚL
Stalowa Wola, PK
Starachowice, ŚK
Stargard, ZP
Starogard Gdański, PM
Stary Sącz, MA
Staszów, ŚK
Stawiski, PD
Stawiszyn, WP
Stepnica, ZP
Stoczek Łukowski, LU
Stopnica, ŚK
Stronie Śląskie, DŚ
Strumień, ŚL
Stryków, ŁD
Strzegom, DŚ
Strzelce Krajeńskie, LB
Strzelce Opolskie, OP
Strzelin, DŚ
Strzelno, KP
Strzyżów, PK
Stąporków, ŚK
Stęszew, WP
Sucha Beskidzka, MA
Suchań, ZP
Suchedniów, ŚK
Suchowola, PD
Sulechów, LB
Sulejów, ŁD
Sulejówek, MZ
Sulmierzyce, WP
Sulęcin, LB
Supraśl, PD
Suraż, PD
Susz, WN
Suwałki, PD
Sułkowice, MA
Swarzędz, WP
Syców, DŚ
Szadek, ŁD
Szamocin, WP
Szamotuły, WP
Szczawnica, MA
Szczawno-Zdrój, DŚ
Szczebrzeszyn, LU
Szczecin, ZP
Szczecinek, ZP
Szczekociny, ŚL
Szczucin, MA
Szczuczyn, PD
Szczyrk, ŚL
Szczytna, DŚ
Szczytno, WN
Szepietowo, PD
Szklarska Poręba, DŚ
Szlichtyngowa, LB
Szprotawa, LB
Sztum, PM
Szubin, KP
Szydłowiec, MZ
Szydłów, ŚK
Sędziszów, ŚK
Sędziszów Małopolski, PK
Sępopol, WN
Sępólno Krajeńskie, KP
Sława, LB
Sławków, ŚL
Sławno, ZP
Słomniki, MA
Słubice, LB
Słupca, WP
Słupsk, PM
Tarczyn, MZ
Tarnobrzeg, PK
Tarnogród, LU
Tarnowskie Góry, ŚL
Tarnów, MA
Tczew, PM
Terespol, LU
Tolkmicko, WN
Tomaszów Lubelski, LU
Tomaszów Mazowiecki, ŁD
Toruń, KP
Torzym, LB
Toszek, ŚL
Trzcianka, WP
Trzciel, LB
Trzcińsko-Zdrój, ZP
Trzebiatów, ZP
Trzebinia, MA
Trzebnica, DŚ
Trzemeszno, WP
Tuchola, KP
Tuchów, MA
Tuczno, ZP
Tuliszków, WP
Turek, WP
Tuszyn, ŁD
Tułowice, OP
Twardogóra, DŚ
Tychowo, ZP
Tychy, ŚL
Tyczyn, PK
Tykocin, PD
Tyszowce, LU
Tłuszcz, MZ
Ujazd, OP
Ujście, WP
Ulanów, PK
Uniejów, ŁD
Urzędów, LU
Ustka, PM
Ustroń, ŚL
Ustrzyki Dolne, PK
Wadowice, MA
Warka, MZ
Warszawa, MZ
Warta, ŁD
Wasilków, PD
Wałbrzych, DŚ
Wałcz, ZP
Wejherowo, PM
Wielbark, WN
Wieleń, WP
Wielichowo, WP
Wieliczka, MA
Wieluń, ŁD
Wieruszów, ŁD
Wilamowice, ŚL
Wisła, ŚL
Witkowo, WP
Witnica, LB
Wiązów, DŚ
Więcbork, KP
Wiślica, ŚK
Wleń, DŚ
Wodzisław Śląski, ŚL
Wojcieszów, DŚ
Wojkowice, ŚL
Wojnicz, MA
Wolbrom, MA
Wolbórz, ŁD
Wolin, ZP
Wolsztyn, WP
Wołczyn, OP
Wołomin, MZ
Wołów, DŚ
Woźniki, ŚL
Wrocław, DŚ
Wronki, WP
Września, WP
Wschowa, LB
Wyrzysk, WP
Wysoka, WP
Wysokie Mazowieckie, PD
Wyszków, MZ
Wyszogród, MZ
Wyśmierzyce, MZ
Wąbrzeźno, KP
Wąchock, ŚK
Wągrowiec, WP
Wąsosz, DŚ
Węgliniec, DŚ
Węgorzewo, WN
Węgorzyno, ZP
Węgrów, MZ
Władysławowo, PM
Włocławek, KP
Włodawa, LU
Włoszczowa, ŚK
Zabrze, ŚL
Zabłudów, PD
Zagórz, PK
Zagórów, WP
Zakliczyn, MA
Zaklików, PK
Zakopane, MA
Zakroczym, MZ
Zalewo, WN
Zambrów, PD
Zamość, LU
Zator, MA
Zawadzkie, OP
Zawichost, ŚK
Zawidów, DŚ
Zawiercie, ŚL
Zbąszynek, LB
Zbąszyń, WP
